full_text,Filtering,Case_Folding,Tokenizing,Stemming,Stopwords_Removal,clean_text
@Zerifunyan untung langsung turu bisa dicoba nih bagi yg insomnia atau malah makin nambah insomnianya, untung langsung turu bisa dicoba nih bagi yg insomnia atau malah makin nambah insomnianya, untung langsung turu bisa dicoba nih bagi yg insomnia atau malah makin nambah insomnianya,"['untung', 'langsung', 'turu', 'bisa', 'dicoba', 'nih', 'bagi', 'yg', 'insomnia', 'atau', 'malah', 'makin', 'nambah', 'insomnianya']","['untung', 'langsung', 'turu', 'bisa', 'coba', 'nih', 'bagi', 'yg', 'insomnia', 'atau', 'malah', 'makin', 'nambah', 'insomnia']","['untung', 'langsung', 'turu', 'bisa', 'coba', 'nih', 'yg', 'insomnia', 'malah', 'makin', 'nambah', 'insomnia']","['untung', 'langsung', 'turu', 'bisa', 'coba', 'nih', 'yg', 'insomnia', 'malah', 'makin', 'nambah', 'insomnia']"
Disebabkan insomnia nak tahu tentang team Sumud aku join live diaorang sambil menung tutup mata tunggu terlelap. Tapi at the moment Palestine guy said this I think I didn't do enough. So aku bukak balik akaun FB lama aku (dlm tu ada 300+ friends). As much as I can bro. https://t.co/fURGnzEyqz,Disebabkan insomnia nak tahu tentang team Sumud aku join live diaorang sambil menung tutup mata tunggu terlelap Tapi at the moment Palestine guy said this I think I didnt do enough So aku bukak balik akaun FB lama aku dlm tu ada  friends As much as I can bro ,disebabkan insomnia nak tahu tentang team sumud aku join live diaorang sambil menung tutup mata tunggu terlelap tapi at the moment palestine guy said this i think i didnt do enough so aku bukak balik akaun fb lama aku dlm tu ada  friends as much as i can bro ,"['disebabkan', 'insomnia', 'nak', 'tahu', 'tentang', 'team', 'sumud', 'aku', 'join', 'live', 'diaorang', 'sambil', 'menung', 'tutup', 'mata', 'tunggu', 'terlelap', 'tapi', 'at', 'the', 'moment', 'palestine', 'guy', 'said', 'this', 'i', 'think', 'i', 'didnt', 'do', 'enough', 'so', 'aku', 'bukak', 'balik', 'akaun', 'fb', 'lama', 'aku', 'dlm', 'tu', 'ada', 'friends', 'as', 'much', 'as', 'i', 'can', 'bro']","['sebab', 'insomnia', 'nak', 'tahu', 'tentang', 'team', 'sumud', 'aku', 'join', 'live', 'diaorang', 'sambil', 'menung', 'tutup', 'mata', 'tunggu', 'lelap', 'tapi', 'at', 'the', 'moment', 'palestine', 'guy', 'said', 'this', 'i', 'think', 'i', 'didnt', 'do', 'enough', 'so', 'aku', 'bukak', 'balik', 'akaun', 'fb', 'lama', 'aku', 'dlm', 'tu', 'ada', 'friends', 'as', 'much', 'as', 'i', 'can', 'bro']","['sebab', 'insomnia', 'nak', 'tahu', 'tentang', 'team', 'sumud', 'aku', 'join', 'live', 'diaorang', 'sambil', 'menung', 'tutup', 'mata', 'tunggu', 'lelap', 'tapi', 'at', 'the', 'moment', 'palestine', 'guy', 'said', 'this', 'i', 'think', 'i', 'didnt', 'do', 'enough', 'so', 'aku', 'bukak', 'balik', 'akaun', 'fb', 'lama', 'aku', 'dlm', 'tu', 'friends', 'as', 'much', 'as', 'i', 'can', 'bro']","['sebab', 'insomnia', 'nak', 'tahu', 'tentang', 'team', 'sumud', 'aku', 'join', 'live', 'diaorang', 'sambil', 'menung', 'tutup', 'mata', 'tunggu', 'lelap', 'tapi', 'at', 'the', 'moment', 'palestine', 'guy', 'said', 'this', 'i', 'think', 'i', 'didnt', 'do', 'enough', 'so', 'aku', 'bukak', 'balik', 'akaun', 'fb', 'lama', 'aku', 'dlm', 'tu', 'friends', 'as', 'much', 'as', 'i', 'can', 'bro']"
@mausususapi Apakah sakit insomnia ?, Apakah sakit insomnia , apakah sakit insomnia ,"['apakah', 'sakit', 'insomnia']","['apakah', 'sakit', 'insomnia']","['apakah', 'sakit', 'insomnia']","['apakah', 'sakit', 'insomnia']"
satu tahun ini w susah bgt tidur insomnia akut sampe kemaren ke psikater tapi jawabannya ga memuaskan dan sepertinya salah diagnose ,satu tahun ini w susah bgt tidur insomnia akut sampe kemaren ke psikater tapi jawabannya ga memuaskan dan sepertinya salah diagnose ,satu tahun ini w susah bgt tidur insomnia akut sampe kemaren ke psikater tapi jawabannya ga memuaskan dan sepertinya salah diagnose ,"['satu', 'tahun', 'ini', 'w', 'susah', 'bgt', 'tidur', 'insomnia', 'akut', 'sampe', 'kemaren', 'ke', 'psikater', 'tapi', 'jawabannya', 'ga', 'memuaskan', 'dan', 'sepertinya', 'salah', 'diagnose']","['satu', 'tahun', 'ini', 'w', 'susah', 'bgt', 'tidur', 'insomnia', 'akut', 'sampe', 'kemaren', 'ke', 'psikater', 'tapi', 'jawab', 'ga', 'muas', 'dan', 'seperti', 'salah', 'diagnose']","['satu', 'tahun', 'w', 'susah', 'bgt', 'tidur', 'insomnia', 'akut', 'sampe', 'kemaren', 'psikater', 'tapi', 'jawab', 'ga', 'muas', 'seperti', 'salah', 'diagnose']","['satu', 'tahun', 'w', 'susah', 'bgt', 'tidur', 'insomnia', 'akut', 'sampe', 'kemaren', 'psikater', 'tapi', 'jawab', 'ga', 'muas', 'seperti', 'salah', 'diagnose']"
insomnia + asem lambung + darah rendah. aku gapapa kan,insomnia  asem lambung  darah rendah aku gapapa kan,insomnia  asem lambung  darah rendah aku gapapa kan,"['insomnia', 'asem', 'lambung', 'darah', 'rendah', 'aku', 'gapapa', 'kan']","['insomnia', 'asem', 'lambung', 'darah', 'rendah', 'aku', 'gapapa', 'kan']","['insomnia', 'asem', 'lambung', 'darah', 'rendah', 'aku', 'gapapa', 'kan']","['insomnia', 'asem', 'lambung', 'darah', 'rendah', 'aku', 'gapapa', 'kan']"
Jenuh,Jenuh,jenuh,['jenuh'],['jenuh'],['jenuh'],['jenuh']
29 Sep 25 Aku insomnia hampir seminggu ini tidur subuh terus ‍↕️, Sep  Aku insomnia hampir seminggu ini tidur subuh terus , sep  aku insomnia hampir seminggu ini tidur subuh terus ,"['sep', 'aku', 'insomnia', 'hampir', 'seminggu', 'ini', 'tidur', 'subuh', 'terus']","['sep', 'aku', 'insomnia', 'hampir', 'minggu', 'ini', 'tidur', 'subuh', 'terus']","['sep', 'aku', 'insomnia', 'hampir', 'minggu', 'tidur', 'subuh', 'terus']","['sep', 'aku', 'insomnia', 'hampir', 'minggu', 'tidur', 'subuh', 'terus']"
Aku dah ngerasa imun tubuh makin turun gara² insomnia Aku tuh ngecemasin sesuatu tapi ga tau apa yg aku cemasin ,Aku dah ngerasa imun tubuh makin turun gara² insomnia Aku tuh ngecemasin sesuatu tapi ga tau apa yg aku cemasin ,aku dah ngerasa imun tubuh makin turun gara² insomnia aku tuh ngecemasin sesuatu tapi ga tau apa yg aku cemasin ,"['aku', 'dah', 'ngerasa', 'imun', 'tubuh', 'makin', 'turun', 'gara²', 'insomnia', 'aku', 'tuh', 'ngecemasin', 'sesuatu', 'tapi', 'ga', 'tau', 'apa', 'yg', 'aku', 'cemasin']","['aku', 'dah', 'ngerasa', 'imun', 'tubuh', 'makin', 'turun', 'gara', 'insomnia', 'aku', 'tuh', 'ngecemasin', 'sesuatu', 'tapi', 'ga', 'tau', 'apa', 'yg', 'aku', 'cemasin']","['aku', 'dah', 'ngerasa', 'imun', 'tubuh', 'makin', 'turun', 'gara', 'insomnia', 'aku', 'tuh', 'ngecemasin', 'sesuatu', 'tapi', 'ga', 'tau', 'apa', 'yg', 'aku', 'cemasin']","['aku', 'dah', 'ngerasa', 'imun', 'tubuh', 'makin', 'turun', 'gara', 'insomnia', 'aku', 'tuh', 'ngecemasin', 'sesuatu', 'tapi', 'ga', 'tau', 'apa', 'yg', 'aku', 'cemasin']"
Capek ih insomnia mulu dah 2 minggu ini Kalau malem bisanya tidur cuma 1 jam trus ga bisa tidur sampe pagi ,Capek ih insomnia mulu dah  minggu ini Kalau malem bisanya tidur cuma  jam trus ga bisa tidur sampe pagi ,capek ih insomnia mulu dah  minggu ini kalau malem bisanya tidur cuma  jam trus ga bisa tidur sampe pagi ,"['capek', 'ih', 'insomnia', 'mulu', 'dah', 'minggu', 'ini', 'kalau', 'malem', 'bisanya', 'tidur', 'cuma', 'jam', 'trus', 'ga', 'bisa', 'tidur', 'sampe', 'pagi']","['capek', 'ih', 'insomnia', 'mulu', 'dah', 'minggu', 'ini', 'kalau', 'malem', 'bisa', 'tidur', 'cuma', 'jam', 'trus', 'ga', 'bisa', 'tidur', 'sampe', 'pagi']","['capek', 'ih', 'insomnia', 'mulu', 'dah', 'minggu', 'kalau', 'malem', 'bisa', 'tidur', 'cuma', 'jam', 'trus', 'ga', 'bisa', 'tidur', 'sampe', 'pagi']","['capek', 'ih', 'insomnia', 'mulu', 'dah', 'minggu', 'kalau', 'malem', 'bisa', 'tidur', 'cuma', 'jam', 'trus', 'ga', 'bisa', 'tidur', 'sampe', 'pagi']"
Obat insomniauntung ada seri a https://t.co/JhgCbKp5vU,Obat insomniauntung ada seri a ,obat insomniauntung ada seri a ,"['obat', 'insomniauntung', 'ada', 'seri', 'a']","['obat', 'insomniauntung', 'ada', 'seri', 'a']","['obat', 'insomniauntung', 'seri', 'a']","['obat', 'insomniauntung', 'seri', 'a']"
Tiap malem kek gini terus insomnia.. nanti tidur paling jam 8 pagi bangun 2 jam kemudian. Makan kurang masuk pasti muntah terus. Gitu aja weh ini mah ,Tiap malem kek gini terus insomnia nanti tidur paling jam  pagi bangun  jam kemudian Makan kurang masuk pasti muntah terus Gitu aja weh ini mah ,tiap malem kek gini terus insomnia nanti tidur paling jam  pagi bangun  jam kemudian makan kurang masuk pasti muntah terus gitu aja weh ini mah ,"['tiap', 'malem', 'kek', 'gini', 'terus', 'insomnia', 'nanti', 'tidur', 'paling', 'jam', 'pagi', 'bangun', 'jam', 'kemudian', 'makan', 'kurang', 'masuk', 'pasti', 'muntah', 'terus', 'gitu', 'aja', 'weh', 'ini', 'mah']","['tiap', 'malem', 'kek', 'gin', 'terus', 'insomnia', 'nanti', 'tidur', 'paling', 'jam', 'pagi', 'bangun', 'jam', 'kemudian', 'makan', 'kurang', 'masuk', 'pasti', 'muntah', 'terus', 'gitu', 'aja', 'weh', 'ini', 'mah']","['tiap', 'malem', 'kek', 'gin', 'terus', 'insomnia', 'nanti', 'tidur', 'paling', 'jam', 'pagi', 'bangun', 'jam', 'kemudian', 'makan', 'kurang', 'masuk', 'pasti', 'muntah', 'terus', 'gitu', 'aja', 'weh', 'mah']","['tiap', 'malem', 'kek', 'gin', 'terus', 'insomnia', 'nanti', 'tidur', 'paling', 'jam', 'pagi', 'bangun', 'jam', 'kemudian', 'makan', 'kurang', 'masuk', 'pasti', 'muntah', 'terus', 'gitu', 'aja', 'weh', 'mah']"
@yuanzhilinqiye emg sih aku jg kl lg insomnia mau dipaksa merem juga gak mau nurut mau gak mau emg harus dipaksa tiduran speedy recovery kak janlup minum vitamin, emg sih aku jg kl lg insomnia mau dipaksa merem juga gak mau nurut mau gak mau emg harus dipaksa tiduran speedy recovery kak janlup minum vitamin, emg sih aku jg kl lg insomnia mau dipaksa merem juga gak mau nurut mau gak mau emg harus dipaksa tiduran speedy recovery kak janlup minum vitamin,"['emg', 'sih', 'aku', 'jg', 'kl', 'lg', 'insomnia', 'mau', 'dipaksa', 'merem', 'juga', 'gak', 'mau', 'nurut', 'mau', 'gak', 'mau', 'emg', 'harus', 'dipaksa', 'tiduran', 'speedy', 'recovery', 'kak', 'janlup', 'minum', 'vitamin']","['emg', 'sih', 'aku', 'jg', 'kl', 'lg', 'insomnia', 'mau', 'paksa', 'merem', 'juga', 'gak', 'mau', 'nurut', 'mau', 'gak', 'mau', 'emg', 'harus', 'paksa', 'tidur', 'speedy', 'recovery', 'kak', 'janlup', 'minum', 'vitamin']","['emg', 'sih', 'aku', 'jg', 'kl', 'lg', 'insomnia', 'mau', 'paksa', 'merem', 'gak', 'mau', 'nurut', 'mau', 'gak', 'mau', 'emg', 'harus', 'paksa', 'tidur', 'speedy', 'recovery', 'kak', 'janlup', 'minum', 'vitamin']","['emg', 'sih', 'aku', 'jg', 'kl', 'lg', 'insomnia', 'mau', 'paksa', 'merem', 'gak', 'mau', 'nurut', 'mau', 'gak', 'mau', 'emg', 'harus', 'paksa', 'tidur', 'speedy', 'recovery', 'kak', 'janlup', 'minum', 'vitamin']"
Sebuah jurnal insomnia.. https://t.co/1x4LIRoGiO,Sebuah jurnal insomnia ,sebuah jurnal insomnia ,"['sebuah', 'jurnal', 'insomnia']","['buah', 'jurnal', 'insomnia']","['buah', 'jurnal', 'insomnia']","['buah', 'jurnal', 'insomnia']"
Depresi insomnia ditambah rambut botak parah,Depresi insomnia ditambah rambut botak parah,depresi insomnia ditambah rambut botak parah,"['depresi', 'insomnia', 'ditambah', 'rambut', 'botak', 'parah']","['depresi', 'insomnia', 'tambah', 'rambut', 'botak', 'parah']","['depresi', 'insomnia', 'tambah', 'rambut', 'botak', 'parah']","['depresi', 'insomnia', 'tambah', 'rambut', 'botak', 'parah']"
Lagi insomnia siapa mau jadi mutual?,Lagi insomnia siapa mau jadi mutual,lagi insomnia siapa mau jadi mutual,"['lagi', 'insomnia', 'siapa', 'mau', 'jadi', 'mutual']","['lagi', 'insomnia', 'siapa', 'mau', 'jadi', 'mutual']","['insomnia', 'siapa', 'mau', 'mutual']","['insomnia', 'siapa', 'mau', 'mutual']"
Insomnia in Ikebukuro https://t.co/U2ZPEXbbgF,Insomnia in Ikebukuro ,insomnia in ikebukuro ,"['insomnia', 'in', 'ikebukuro']","['insomnia', 'in', 'ikebukuro']","['insomnia', 'in', 'ikebukuro']","['insomnia', 'in', 'ikebukuro']"
kalau lagi insomnia suka muncul jiwa impulsif checkout sopi ,kalau lagi insomnia suka muncul jiwa impulsif checkout sopi ,kalau lagi insomnia suka muncul jiwa impulsif checkout sopi ,"['kalau', 'lagi', 'insomnia', 'suka', 'muncul', 'jiwa', 'impulsif', 'checkout', 'sopi']","['kalau', 'lagi', 'insomnia', 'suka', 'muncul', 'jiwa', 'impulsif', 'checkout', 'sopi']","['kalau', 'insomnia', 'suka', 'muncul', 'jiwa', 'impulsif', 'checkout', 'sopi']","['kalau', 'insomnia', 'suka', 'muncul', 'jiwa', 'impulsif', 'checkout', 'sopi']"
